"List of inlinks to the site 6sicuro.it"			
"TITLE"	"URL"	"SIZE"	"FORMAT"
"Finanziamenti per le attività di..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/11/finanziamenti-per-le-attivita-di.html"	79641	"text/html"
"Mutui - Abi: sospensione per 24.000..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/08/mutui-abi-sospensione-per-24000.html"	80241	"text/html"
"Prestiti: ad agosto 2010 domanda stabile"	"http://assicurazionimutuiprestiti.blogspot.com/2010/10/prestiti-ad-agosto-2010-domanda-stabile.html"	80003	"text/html"
"Finanziamenti per imprenditori immigrati"	"http://assicurazionimutuiprestiti.blogspot.com/2010/10/finanziamenti-per-imprenditori.html"	79839	"text/html"
"Carte di credito e carte di debito:..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/09/carte-di-credito-e-carte-di-debito.html"	81817	"text/html"
"Broker di assicurazione leader nella..."	"http://www.assirein.com/"	25897	"text/html"
"Broker di assicurazione leader nella..."	"http://www.assitecapiacenza.it/"	25949	"text/html"
"MagillaNet - La Guida Facile al Web"	"http://magillanet.altervista.org/"	78549	"text/html"
"I mercati, le direttive comunitarie, le..."	"http://www.info-finanza.net/"	42296	"text/html"
"difetti genetici"	"http://www.sparseideas.com/?p=8152"	54465	"text/html"
"sarò io"	"http://www.sparseideas.com/?p=7993"	48943	"text/html"
"Prestito d'onore: di cosa si tratta?"	"http://assicurazionimutuiprestiti.blogspot.com/2010/10/prestito-donore-di-cosa-si-trattta.html"	79740	"text/html"
"6sicuro.it ( www 6sicuro it ) -..."	"http://www.whoisbucket.com/view/6sicuro.it"	13856	"text/html"
"Assicurazioni On Line Auto e Moto..."	"http://www.sync2it.com/details/141819162018191a/"	13641	"text/html"
"il blog di canarinomannaro: Microsoft..."	"http://www.canarinomannaro.com/2010/12/microsoft-security-essential-20.html"	81945	"text/html"
"IL PORTALE DEI MILITARI-informazione e..."	"http://digilander.libero.it/trettix"	40205	"text/html"
"Mutui 100%: una scelta giovane"	"http://assicurazionimutuiprestiti.blogspot.com/2010/08/mutui-100-una-scelta-giovane.html"	80036	"text/html"
"Prestito BancoPosta di Poste Italiane"	"http://assicurazionimutuiprestiti.blogspot.com/2010/09/prestiti-delle-poste-italiane.html"	80008	"text/html"
"Unipol Assicurazioni - Polizza..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/07/unipol-assicurazioni-sicurezza.html"	81414	"text/html"
"Banche e prestiti non finalizzati"	"http://assicurazionimutuiprestiti.blogspot.com/2010/09/banche-e-prestiti-non-finalizzati.html"	80354	"text/html"
"Mutui bancari per l'acquisto della..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/09/mutui-bancari-per-lacquisto-della-prima.html"	80937	"text/html"
"Fiducia ai mutui online"	"http://assicurazionimutuiprestiti.blogspot.com/2010/07/fiducia-ai-mutui-online.html"	79883	"text/html"
"Prestiti agevolati per privati ed..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/09/prestiti-agevolati-per-privati-ed.html"	81109	"text/html"
"Credito alle famiglie italiane: cala il..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/12/credito-alle-famiglie-italiane-cala-il.html"	81766	"text/html"
"MauoNkids.it"	"http://blog.mauonkids.it/"	330384	"text/html"
"Accurimbono's Blog | il mio ripostiglio..."	"http://accurimbono.wordpress.com/"	103745	"text/html"
"Mazda BT-50 | Ultimissime Auto"	"http://www.ultimissimeauto.com/mazda-bt-50/"	79831	"text/html"
"Mutui: confrontali online"	"http://assicurazionimutuiprestiti.blogspot.com/2010/08/mutui-confrontali-online.html"	79780	"text/html"
"Prestiti: attenzione al microcredito"	"http://assicurazionimutuiprestiti.blogspot.com/2010/12/prestiti-attenzione-al-microcredito.html"	80263	"text/html"
"Broker di assicurazione leader nella..."	"http://www.assitecabsa.it/"	27512	"text/html"
"Broker di assicurazione leader nella..."	"http://www.assitecafortune.it/"	26025	"text/html"
"6sicuro previdenza - Metodo Assiteca"	"http://www.6sicuroprevidenza.it/"	5079	"text/html"
"Moto"	"http://www.moto10.it/"	58377	"text/html"
"Stretto CyberWeb"	"http://www.stretto.com/"	87122	"text/html"
"IL PORTALE DEI MILITARI-informazione e..."	"http://www.militari.zzn.com/"	40205	"text/html"
"Sito in preparazione - Site is under..."	"http://www.badiglione.com/"	11195	"text/html"
"Audi Quattro | Ultimissime Auto"	"http://www.ultimissimeauto.com/audi-quattro/"	91720	"text/html"
"La Red Bull favorirà Webber ? |..."	"http://www.ultimissimeauto.com/la-red-bull-favorira-webber/"	77507	"text/html"
"Berlusconi : Marchionne ha detto la..."	"http://www.ultimissimeauto.com/berlusconi-marchionne-ha-detto-la-verita/"	74897	"text/html"
"Mercedes Classe M Grand Edition 2011 |..."	"http://www.ultimissimeauto.com/mercedes-classe-m-grand-edition-2011/"	89377	"text/html"
"La Gp2 diventerà una Formula 1 Junior |..."	"http://www.ultimissimeauto.com/la-gp2-diventera-una-formula-1-junior/"	75429	"text/html"
"Bernie Ecclestone 80 anni Buon..."	"http://www.ultimissimeauto.com/bernie-ecclestone-80-anni-buon-compleanno/"	74713	"text/html"
"Fiat 500 e la resistenza dei..."	"http://www.ultimissimeauto.com/fiat-500-e-la-resistenza-dei-concessionari-chrysler/"	76309	"text/html"
"Gp Brasile Red Bull veloci nelle prove..."	"http://www.ultimissimeauto.com/gp-brasile-red-bull-veloci-nelle-prove-libere/"	78457	"text/html"
"Toyota fornirà i motori alla Lotus..."	"http://www.ultimissimeauto.com/toyota-fornira-i-motori-alla-lotus-formula-1/"	73385	"text/html"
"Formula 1 Corea libere bene Alonso..."	"http://www.ultimissimeauto.com/formula-1-corea-libere-bene-alonso-webber-e-hamilton/"	76063	"text/html"
"Bmw via al bicilindrico per la Mini e..."	"http://www.ultimissimeauto.com/bmw-via-al-bicilindrico-per-la-mini-e-la-megacity/"	72859	"text/html"
"Sindacati Usa pochi 15 dollari ora da..."	"http://www.ultimissimeauto.com/sindacati-usa-pochi-15-dollari-ora-da-gm-e-chrysler-ma-accettiamo/"	73526	"text/html"
"Volvo richiamo per le vetture col..."	"http://www.ultimissimeauto.com/volvo-richiamo-per-le-vetture-col-navigatore-garmin-nuvi-760-e-765/"	73675	"text/html"
"GSRITALIA.IT"	"http://www.gsritalia.it/joomla/index.php"	60035	"text/html"
"Il mutuo a tasso fisso"	"http://assicurazionimutuiprestiti.blogspot.com/2010/07/il-mutuo-tasso-fisso.html"	79989	"text/html"
"Rc auto: risparmiare con la..."	"http://www.vostrisoldi.it/articolo/rc-auto-risparmiare-con-la-comparazione-assicurativa/32899/"	74758	"text/html"
"Mutui a tasso variabile: il tetto dei..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/04/mutui-tasso-variabile-il-tetto-dei.html"	80855	"text/html"
"Novit Assicurazioni - Polizza Novit..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/07/novit-assicurazioni-novit-commercio.html"	81848	"text/html"
"Sospensione del mutuo: la tempistica"	"http://assicurazionimutuiprestiti.blogspot.com/2010/11/sospensione-del-mutuo-la-tempistica.html"	79805	"text/html"
"Netvouz - myauto's bookmarks"	"http://www.netvouz.com/myauto"	17017	"text/html"
"ciao sandra"	"http://www.sparseideas.com/?p=8130"	49846	"text/html"
"rifo"	"http://www.sparseideas.com/?p=7921"	50788	"text/html"
"maschere"	"http://www.sparseideas.com/?p=8085"	52066	"text/html"
"tempus fugit"	"http://www.sparseideas.com/?p=8258"	49386	"text/html"
"tuoni letterari"	"http://www.sparseideas.com/?p=8038"	52916	"text/html"
"e via il tappo"	"http://www.sparseideas.com/?p=8033"	57412	"text/html"
"de politica"	"http://www.sparseideas.com/?p=7935"	52471	"text/html"
"libri dell'estate"	"http://www.sparseideas.com/?p=8053"	50069	"text/html"
"agosto"	"http://www.sparseideas.com/?p=8070"	52742	"text/html"
"Democrazia"	"http://www.sparseideas.com/?p=8078"	53958	"text/html"
"e bon"	"http://www.sparseideas.com/?p=8204"	48808	"text/html"
"inverno"	"http://www.sparseideas.com/?p=7872"	49583	"text/html"
"milan real"	"http://www.sparseideas.com/?p=8230"	53024	"text/html"
"miracolo"	"http://www.sparseideas.com/?p=8030"	48822	"text/html"
"pensieri assonnati"	"http://www.sparseideas.com/?p=8107"	53553	"text/html"
"misterei"	"http://www.sparseideas.com/?p=7884"	49000	"text/html"
"chiude caprica"	"http://www.sparseideas.com/?p=8262"	52694	"text/html"
"fatica positiva"	"http://www.sparseideas.com/?p=8226"	52708	"text/html"
"domande con pochissimo interesse"	"http://www.sparseideas.com/?p=8252"	53141	"text/html"
"una faccia da bravo ragasso _ una..."	"http://www.sparseideas.com/?p=8240"	55046	"text/html"
"3d"	"http://www.sparseideas.com/?p=8122"	52949	"text/html"
"tempo che passa"	"http://www.sparseideas.com/?p=7985"	49891	"text/html"
"una mattina per milano"	"http://www.sparseideas.com/?p=8241"	56327	"text/html"
"super strafalcioni"	"http://www.sparseideas.com/?p=7874"	49746	"text/html"
"provato ipad"	"http://www.sparseideas.com/?p=7966"	48734	"text/html"
"percolazioni emotive"	"http://www.sparseideas.com/?p=8200"	50006	"text/html"
"un urlo si è alzato in casa"	"http://www.sparseideas.com/?p=8072"	52031	"text/html"
"batman superman 76"	"http://www.sparseideas.com/?p=8244"	53484	"text/html"
"Schegge di città"	"http://www.sparseideas.com/?p=8079"	51130	"text/html"
"piccole ordalia di un domenica mattina..."	"http://www.sparseideas.com/?p=8216"	54910	"text/html"
"serata di emozioni"	"http://www.sparseideas.com/?p=8160"	55248	"text/html"
"scoperte"	"http://www.sparseideas.com/?p=8208"	49375	"text/html"
"al voto al voto"	"http://www.sparseideas.com/?p=8095"	48992	"text/html"
"L'apprendista stregone"	"http://www.sparseideas.com/?p=8068"	53285	"text/html"
"ufff"	"http://www.sparseideas.com/?p=8016"	52732	"text/html"
"lucchetti?"	"http://www.sparseideas.com/?p=8051"	49070	"text/html"
"Servizi clienti"	"http://www.sparseideas.com/?p=8057"	49172	"text/html"
"come una sitcom (quasi)"	"http://www.sparseideas.com/?p=8154"	53177	"text/html"
"mono piattaforma"	"http://www.sparseideas.com/?p=8232"	54215	"text/html"
"ciao"	"http://www.sparseideas.com/?p=8042"	52575	"text/html"
"iphone 4.0"	"http://www.sparseideas.com/?p=8055"	49039	"text/html"
"I 10000 siti italiani piu' seguiti del..."	"http://blia.it/sitiitaliani/index.php"	543915	"text/html"
"Assicurazioni On Line Auto e Moto:..."	"http://www.6sicuro.com/"	20873	"text/html"
"Site report for cercassicurazioni.it..."	"http://www.siteluck.com/en/cercassicurazioni.it"	14231	"text/html"
"Broker di assicurazione leader nella..."	"http://www.assitecanapoli.it/"	25998	"text/html"
"Automobili Monasteri, auto nuove e..."	"http://www.automonasteri.com/"	31874	"text/html"
"Broker di assicurazione leader nella..."	"http://www.assitecanordest.it/"	26039	"text/html"
"Genertel.it Website Information - Who.is"	"http://www.who.is/website-information/www.genertel.it"	25176	"text/html"
"Onlinear.it Website Information - Who.is"	"http://www.who.is/website-information/www.onlinear.it"	25502	"text/html"
"Genialloyd.it Website Information -..."	"http://www.who.is/website-information/www.genialloyd.it"	27775	"text/html"
"Piaggio NT3 | Ultimissime Auto"	"http://www.ultimissimeauto.com/piaggio-nt3/"	77822	"text/html"
"Nuova Audi A8 L | Ultimissime Auto"	"http://www.ultimissimeauto.com/nuova-audi-a8-l/"	84711	"text/html"
"Audi A7 Sportback | Ultimissime Auto"	"http://www.ultimissimeauto.com/audi-a7-sportback/"	84496	"text/html"
"Il 2011 sarà l'anno di Chrysler |..."	"http://www.ultimissimeauto.com/il-2011-sara-lanno-di-chrysler/"	74629	"text/html"
"Stefan Gp in formula 1 nel 2011 ? |..."	"http://www.ultimissimeauto.com/stefan-gp-in-formula-1-nel-2011/"	72142	"text/html"
"Pirelli dice addio ai Rally |..."	"http://www.ultimissimeauto.com/pirelli-dice-addio-ai-rally/"	73546	"text/html"
"Raikkonen Renault tutto falso ? |..."	"http://www.ultimissimeauto.com/raikkonen-renault-tutto-falso/"	73992	"text/html"
"Cars 2 arriva anteprima video |..."	"http://www.ultimissimeauto.com/cars-2-arriva-anteprima-video/"	73766	"text/html"
"La crisi dei concessionari |..."	"http://www.ultimissimeauto.com/la-crisi-dei-concessionari/"	77354	"text/html"
"Opel nel 2012 torneremo a guadagnare |..."	"http://www.ultimissimeauto.com/opel-nel-2012-torneremo-a-guadagnare/"	76027	"text/html"
"Aperto il parco Ferrari ad Abu Dhabi |..."	"http://www.ultimissimeauto.com/aperto-il-parco-ferrari-ad-abu-dhabi/"	84852	"text/html"
"Alonso l'aiuto di Felipe non mi serve |..."	"http://www.ultimissimeauto.com/alonso-laiuto-di-felipe-non-mi-serve/"	73195	"text/html"
"Ford Utile record di tutti i tempi |..."	"http://www.ultimissimeauto.com/ford-utile-record-di-tutti-i-tempi/"	72151	"text/html"
"La formula 1 nel motel del sesso |..."	"http://www.ultimissimeauto.com/la-formula-1-nel-motel-del-sesso/"	75467	"text/html"
"Tutti contro la Ferrari e l'Italia |..."	"http://www.ultimissimeauto.com/tutti-contro-la-ferrari-e-litalia/"	76525	"text/html"
"Marchionne a Che Tempo che fa da Fazio..."	"http://www.ultimissimeauto.com/marchionne-a-che-tempo-che-fa-da-fazio-video/"	78021	"text/html"
"Sergio Perez alla Ferrari Driver..."	"http://www.ultimissimeauto.com/sergio-perez-alla-ferrari-driver-academy/"	72463	"text/html"
"Mercedes rottura con Brawn e Schumacher..."	"http://www.ultimissimeauto.com/mercedes-rottura-con-brawn-e-schumacher/"	74485	"text/html"
"Lamborghini apre due concessionari in..."	"http://www.ultimissimeauto.com/lamborghini-apre-due-concessionari-in-messico/"	72795	"text/html"
"Cinque milioni di macchine elettriche..."	"http://www.ultimissimeauto.com/cinque-milioni-di-macchine-elettriche-entro-il-2015/"	73016	"text/html"
"Gp Singapore avanti le Red Bull ma..."	"http://www.ultimissimeauto.com/gp-singapore-avanti-le-red-bull-ma-alonso-e-quarto/"	76998	"text/html"
"Fiat globale dopo lo scorporo ma la..."	"http://www.ultimissimeauto.com/fiat-globale-dopo-lo-scorporo-ma-la-sfida-e-lunga/"	76520	"text/html"
"Loeb vince il Rally di Germania per la..."	"http://www.ultimissimeauto.com/loeb-vince-il-rally-di-germania-per-la-ottava-volta/"	73744	"text/html"
"Accordo Peugeot Citroen con Mitsubishi..."	"http://www.ultimissimeauto.com/accordo-peugeot-citroen-con-mitsubishi-per-auto-elettrica/"	72894	"text/html"
"Scontro test tra Peugeot 308 e Ford..."	"http://www.ultimissimeauto.com/scontro-test-tra-peugeot-308-e-ford-fiesta-video/"	72578	"text/html"
"Marchionne conti positivi per la Fiat..."	"http://www.ultimissimeauto.com/marchionne-conti-positivi-per-la-fiat-nel-terzo-trimestre/"	75289	"text/html"
"La Fiat a Torino a cena coi sindacati..."	"http://www.ultimissimeauto.com/la-fiat-a-torino-a-cena-coi-sindacati-americani-la-fiom-si-incazza/"	76427	"text/html"
"Bmw richiama 350 mila auto tra cui le..."	"http://www.ultimissimeauto.com/bmw-richiama-350-mila-auto-tra-cui-le-rolls-royce-problemi-di-freni/"	73642	"text/html"
"Comprare OnLine - boncop"	"http://sites.google.com/site/boncopagine/Acquisti-On-Line"	31820	"text/html"
"il blog di canarinomannaro: Proviamo..."	"http://www.canarinomannaro.com/2009/04/proviamo-ubuntu.html"	91525	"text/html"
"il blog di canarinomannaro: Gli..."	"http://www.canarinomannaro.com/2009/05/gli-occhiali-piercing.html"	85851	"text/html"
"il blog di canarinomannaro: Windows 7..."	"http://www.canarinomannaro.com/2009/09/windows-7-nuovo-ripristino.html"	85200	"text/html"
"il blog di canarinomannaro: Image..."	"http://www.canarinomannaro.com/2009/04/image-resizer-powertoy-clone.html"	86279	"text/html"
"il blog di canarinomannaro: Ridurre i..."	"http://www.canarinomannaro.com/2009/06/ridurre-i-file-mp3-senza-perdere.html"	85344	"text/html"
"il blog di canarinomannaro: Rimuovi..."	"http://www.canarinomannaro.com/2009/03/rimuovi-tutte-le-varianti-del-virus.html"	86087	"text/html"
"il blog di canarinomannaro: Oxelon..."	"http://www.canarinomannaro.com/2009/11/oxleon-media-converter-conversione.html"	86266	"text/html"
"il blog di canarinomannaro: MuseScore..."	"http://www.canarinomannaro.com/2009/04/musescore-software-opensource-per-la.html"	89089	"text/html"
"il blog di canarinomannaro:..."	"http://www.canarinomannaro.com/2009/03/saveaspdfandxps-creare-un-pdf-da-word.html"	85684	"text/html"
"il blog di canarinomannaro: LiftMagic e..."	"http://www.canarinomannaro.com/2009/11/liftmagic-e-scopri-come-sarai-dopo-il.html"	85140	"text/html"
"il blog di canarinomannaro: Aggiungi..."	"http://www.canarinomannaro.com/2009/06/aggiungi-filigrana-per-proteggere-le.html"	85197	"text/html"
"il blog di canarinomannaro: Attenzione,..."	"http://www.canarinomannaro.com/2009/02/attenzione-una-falla-di-excel-minaccia.html"	82948	"text/html"
"il blog di canarinomannaro: MOTORHEAD..."	"http://www.canarinomannaro.com/2009/07/e-finalmente-arrivato-il-momento-tanto.html"	83236	"text/html"
"Prestiti: le segnalazioni al Crif"	"http://assicurazionimutuiprestiti.blogspot.com/2008/12/prestiti-le-segnalazioni-in-crif.html"	81483	"text/html"
"Fondiaria Sai - Polizza vita Open..."	"http://assicurazionimutuiprestiti.blogspot.com/2009/01/fondiaria-sai-polizza-vita-open.html"	84149	"text/html"
"Il mutuo a tasso variabile: conviene o..."	"http://assicurazionimutuiprestiti.blogspot.com/2008/10/il-mutuo-tasso-variabile.html"	81200	"text/html"
"La cessione del quinto dello stipendio:..."	"http://assicurazionimutuiprestiti.blogspot.com/2008/09/la-cessione-del-quinto-dello-stipendio.html"	82868	"text/html"
"Il barometro della domanda di mutui"	"http://assicurazionimutuiprestiti.blogspot.com/2010/07/il-barometro-della-domanda-di-mutui.html"	80679	"text/html"
"Assicurazioni e responsabilità civile:..."	"http://assicurazionimutuiprestiti.blogspot.com/2008/09/assicurazioni-e-responsabilit-civile.html"	81756	"text/html"
"Ristrutturazione della casa: quali sono..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/12/ristrutturazione-della-casa-quali-sono.html"	80934	"text/html"
"Europa: il miglio mutuo è quello con il..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/05/europa-il-miglio-mutuo-e-quello-con-il.html"	81491	"text/html"
"Finanzaetrading.com - Portale sul mondo..."	"http://assicurazionimutuiprestiti.blogspot.com/2010/07/finanzaetradingcom-portale-sul-mondo.html"	80812	"text/html"
"Rc auto: tutti i siti per risparmiare -..."	"http://www.microsoft.com/italy/pmi/pmi-flash/rc-auto.mspx"	46611	"text/html"
"Evolution Tech – Autofficina..."	"http://www.evolution-tech.net/"	36762	"text/html"
"Ford Ranger | Ultimissime Auto"	"http://www.ultimissimeauto.com/ford-ranger/"	79958	"text/html"
"Kangoo Renault | Ultimissime Auto"	"http://www.ultimissimeauto.com/kangoo-renault/"	74519	"text/html"
"Suzuki Swift R | Ultimissime Auto"	"http://www.ultimissimeauto.com/suzuki-swift-r/"	70786	"text/html"
"La Fiat e la Cina | Ultimissime Auto"	"http://www.ultimissimeauto.com/la-fiat-e-la-cina/"	70367	"text/html"
"Lotus contro Lotus | Ultimissime Auto"	"http://www.ultimissimeauto.com/lotus-contro-lotus/"	73333	"text/html"
"Jeep Cherokee 2011 | Ultimissime Auto"	"http://www.ultimissimeauto.com/jeep-cherokee-2011/"	77190	"text/html"
"Opel Astra Tourer 2011 | Ultimissime..."	"http://www.ultimissimeauto.com/opel-astra-tourer-2011/"	92472	"text/html"
"SSC Ultimate Aero II la più veloce del..."	"http://www.ultimissimeauto.com/ssc-ultimate-aero-ii/"	79077	"text/html"
"Opel GTC Paris Concept | Ultimissime..."	"http://www.ultimissimeauto.com/opel-gtc-paris-concept/"	79509	"text/html"
"Dacia compie cinque anni | Ultimissime..."	"http://www.ultimissimeauto.com/dacia-compie-cinque-anni/"	72557	"text/html"
"Peugeot il museo Schaux | Ultimissime..."	"http://www.ultimissimeauto.com/peugeot-il-museo-schaux/"	76814	"text/html"
"Alfa Romeo e Bob Sinclair | Ultimissime..."	"http://www.ultimissimeauto.com/alfa-romeo-e-bob-sinclair/"	78120	"text/html"
"Nuovo crossover Jeep video |..."	"http://www.ultimissimeauto.com/nuovo-crossover-jeep-video/"	71955	"text/html"
"Porsche Cajun in arrivo | Ultimissime..."	"http://www.ultimissimeauto.com/porsche-cajun-in-arrivo/"	70775	"text/html"
"Giulietta Auto d'Europa 2011 |..."	"http://www.ultimissimeauto.com/giulietta-auto-deuropa-2011/"	71746	"text/html"
"Toyota Prius a quota 2 milioni |..."	"http://www.ultimissimeauto.com/toyota-prius-a-quota-2-milioni/"	72551	"text/html"
"Tarquini in Pole a Valencia WTTC |..."	"http://www.ultimissimeauto.com/tarquini-in-pole-a-valencia-wttc/"	72249	"text/html"
"Alonso il mondiale comincia ora |..."	"http://www.ultimissimeauto.com/alonso-il-mondiale-comincia-ora/"	73803	"text/html"
"Massa Ferrari verso il divorzio |..."	"http://www.ultimissimeauto.com/massa-ferrari-verso-il-divorzio/"	74790	"text/html"
"Mazda 2 e Mazda 5 verso Parigi |..."	"http://www.ultimissimeauto.com/mazda-2-e-mazda-5-verso-parigi/"	73787	"text/html"
"Citroen approvata Quattroruote video |..."	"http://www.ultimissimeauto.com/citroen-approvata-quattroruote/"	74223	"text/html"
"Mitsubishi Lancer Evolution 2011 |..."	"http://www.ultimissimeauto.com/mitsubishi-lancer-evolution-2011/"	85379	"text/html"
"Christian Wolff in Williams |..."	"http://www.ultimissimeauto.com/christian-wolff-in-williams/"	71514	"text/html"
"Peugeot Avenue e la "" Electro Mobility..."	"http://www.ultimissimeauto.com/peugeot-avenue-e-la-electro-mobility/"	74621	"text/html"
"Loeb Citroen vince rally Giordania |..."	"http://www.ultimissimeauto.com/loeb-citroen-vince-rally-giordania/"	74546	"text/html"
"Hanninen pronto al rally di Scozia |..."	"http://www.ultimissimeauto.com/hanninen-pronto-al-rally-di-scozia/"	73631	"text/html"
"Ruf ripropone la Porsche 911 Targa |..."	"http://www.ultimissimeauto.com/ruf-ripropone-la-porsche-911-targa/"	75501	"text/html"
"WRC Ogier vince il rally del Giappone |..."	"http://www.ultimissimeauto.com/wrc-ogier-vince-il-rally-del-giappone/"	72638	"text/html"
"Buon Compleanno Jaguar compie 75 anni |..."	"http://www.ultimissimeauto.com/buon-compleanno-jaguar-compie-75-anni/"	83179	"text/html"
"Collins è The Stig ufficiale video |..."	"http://www.ultimissimeauto.com/collins-e-the-stig-ufficiale-video/"	71189	"text/html"
"Fiat Melfi ferma per pezzi difettosi |..."	"http://www.ultimissimeauto.com/fiat-melfi-ferma-per-pezzi-difettosi/"	74018	"text/html"
"McLaren MP4-12C in Italia col gruppo..."	"http://www.ultimissimeauto.com/mclaren-mp4-12c-in-italia-col-gruppo-fassina/"	73901	"text/html"
"I voti ai piloti del gran premio di..."	"http://www.ultimissimeauto.com/i-voti-ai-piloti-del-gran-premio-di-corea/"	74301	"text/html"
"L'impegno logistico della Ferrari in..."	"http://www.ultimissimeauto.com/limpegno-logistico-della-ferrari-in-giappone/"	77346	"text/html"
"Villeneuve con il proprio team in..."	"http://www.ultimissimeauto.com/villeneuve-con-il-proprio-team-in-formula-1/"	74595	"text/html"
"Mercedes Nissan Renault alleanza..."	"http://www.ultimissimeauto.com/mercedes-nissan-renault-alleanza-elettrica/"	75922	"text/html"
"Pontiac oggi chiuso lo storico marchio..."	"http://www.ultimissimeauto.com/pontiac-oggi-chiuso-lo-storico-marchio-gm/"	71345	"text/html"
"Opel la sua citycar prodotta in..."	"http://www.ultimissimeauto.com/opel-la-sua-citycar-prodotta-in-germania/"	71733	"text/html"
"Gp2 gara due Germania vince Sergio..."	"http://www.ultimissimeauto.com/gp2-gara-due-germania-vince-sergio-perez/"	74187	"text/html"
"Renault Twingo Miss Sixty Belen..."	"http://www.ultimissimeauto.com/renault-twingo-miss-sixty-belen-rodriguez/"	72260	"text/html"
"Ottobre Fiat al 28,6% del mercato..."	"http://www.ultimissimeauto.com/ottobre-fiat-al-286-del-mercato-italiano/"	73340	"text/html"
"Lauda la Red Bull deve puntare su..."	"http://www.ultimissimeauto.com/lauda-la-red-bull-deve-puntare-su-webber/"	71761	"text/html"
"Mosley contro la Ferrari Va penalizzata..."	"http://www.ultimissimeauto.com/mosley-contro-la-ferrari-va-penalizzata/"	72970	"text/html"
"Giovanni Perosino dalla Fiat alla..."	"http://www.ultimissimeauto.com/giovanni-perosino-dalla-fiat-alla-volkswagen/"	71559	"text/html"
"Alonso al comando a Spa nella giornata..."	"http://www.ultimissimeauto.com/alonso-al-comando-a-spa-nella-giornata-delle-libere/"	75059	"text/html"
"Ecclestone togliere il divieto degli..."	"http://www.ultimissimeauto.com/ecclestone-togliere-il-divieto-degli-ordii-di-scuderia/"	72618	"text/html"
"Robert Pattinson e Katy Perry..."	"http://www.ultimissimeauto.com/robert-pattinson-e-katy-perry-passeggeri-ideali/"	71909	"text/html"
"Toyota no agli stabilimenti di Termini..."	"http://www.ultimissimeauto.com/toyota-no-agli-stabilimenti-di-termini-imerese/"	74230	"text/html"
"Ginevra Elkann la Fiat non se ne andrà..."	"http://www.ultimissimeauto.com/ginevra-elkann-la-fiat-non-se-ne-andra-dallitalia/"	73303	"text/html"
